mtkid,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,MoralityGeneral,PurityVice
aA3L0DCUXU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA3I40B0FU11,0.00025908973141031176,0.004577251921582174,0.007772691942309353,0.006218153553847482,0.0044045254339753,0.0017272648760687454,0.004145435702564988,0.0022454443388893685,0.0007772691942309353,0.007772691942309353,0.0006045427066240607
aA2MCRVU8U11,0.0,0.006309148264984227,0.003154574132492113,0.003154574132492113,0.002365930599369085,0.0015772870662460567,0.005520504731861199,0.0015772870662460567,0.003154574132492113,0.00946372239747634,0.0015772870662460567
aA1PJUYJ7U11,0.00013444474321054048,0.001411669803710675,0.0010083355740790538,0.0007394460876579726,0.0032266738370529714,0.00020166711481581071,0.00013444474321054048,0.0003361118580263512,0.00013444474321054048,0.002554450121000269,6.722237160527024e-05
aA1KZ21TSU11,0.0,0.0029002320185614852,0.002320185614849188,0.0,0.0029002320185614852,0.0,0.001160092807424594,0.0,0.0,0.0017401392111368909,0.0
aA2UO3QJZU11,4.206452698439406e-05,0.0008412905396878813,0.0010095486476254577,0.00046270979682833466,0.003996130063517436,0.00021032263492197032,0.0006309679047659108,0.00016825810793757624,0.00016825810793757624,0.002523871619063644,0.0002523871619063644
aA1B2V27QU11,0.0004542652259969499,0.004802232389110614,0.0032771991304065672,0.0020766410331289143,0.0042506246146857465,0.000584055290567507,0.001849508420130439,0.0009734254842791783,0.0006165028067101464,0.0052564976151075644,0.0007787403874233427
aA22KRF78U11,0.0,0.0,0.0,0.0,0.015384615384615384,0.0,0.0,0.0,0.0,0.0,0.0
aA19ZWBQTU11,0.0,0.0071599045346062064,0.002386634844868735,0.00477326968973747,0.002386634844868735,0.0,0.002386634844868735,0.0,0.002386634844868735,0.00477326968973747,0.0
aA2USG66RU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aAASQHRMEU11,0.0,0.0,0.0011695906432748536,0.0,0.022222222222222227,0.0,0.0,0.0,0.0023391812865497076,0.003508771929824561,0.0
aA1879O6JU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA34TVS5NU11,0.0,0.0006464124111182935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006464124111182935
aA2FARB7LU11,0.00043803613798138347,0.0035042891038510678,0.0041248402993246955,0.00317576200036503,0.007118087242197481,0.0021536776784084693,0.0021171746669100197,0.0017521445519255339,0.0007665632414674211,0.00529293666727505,0.0010585873334550099
aA5P78B8PU11,0.003851974136745082,0.004539826661163846,0.004402256156280093,0.002613839592791305,0.007979089283257669,0.0006878525244187647,0.0057779612051176215,0.003714403631861329,0.006878525244187647,0.011143210895583986,0.003164121612326317
aA3L2VS39U11,0.000892268301198743,0.0030259533692826943,0.003918221670481436,0.0029483648213523683,0.0040733987663420885,0.0017069480544671606,0.0018233308763626489,0.002793187725491717,0.0007370912053380921,0.003142336191178182,0.001357799588780696
aA37W0GRXU11,0.0020558461498425586,0.006818122674161397,0.007702917219663256,0.005048533583157676,0.00697426288807349,0.003461108075051396,0.005412860748952559,0.0059853748666302345,0.004970463476201629,0.010643557915007677,0.0038774819788169775
aAT60ESWGU11,0.0003675505381990024,0.0027303754266211604,0.0020477815699658703,0.0006825938566552901,0.007351010763980046,0.0006300866369125755,0.0011551588343397218,0.0005250721974271463,0.0003675505381990024,0.005670779732213179,0.0005775794171698609
aA1MIBEGFU11,0.00048727006943598484,0.0042230072684452035,0.004182401429325537,0.0014618102083079547,0.007471474398018435,0.0004060583911966541,0.002801802899256913,0.00150241604742762,0.0017460510821456126,0.005847240833231819,0.0008933284606326391
aA2RCYLKYU11,0.00029612081729345565,0.0005922416345869113,0.0017767249037607344,0.0005922416345869113,0.004145691442108379,0.0011844832691738226,0.0011844832691738226,0.0,0.00029612081729345565,0.0026650873556411016,0.0
aA3UE7W81U11,0.0006397952655150353,0.003100546286726709,0.0040848466952113785,0.0014764506127270046,0.008022048329150057,9.843004084846696e-05,0.0013780205718785373,0.0006890102859392688,0.0006397952655150353,0.006644027757271518,0.0006397952655150353
aA1P8K83PU11,0.0008173941474579043,0.0016347882949158087,0.0032695765898316173,0.0014713094654242274,0.006702632009154814,0.00016347882949158083,0.0006539153179663232,0.00032695765898316167,0.00032695765898316167,0.0019617459538989698,0.0004904364884747426
aA2WZGCFPU11,0.0,0.0036781609195402297,0.005977011494252874,0.0013793103448275859,0.012413793103448277,0.0,0.0018390804597701149,0.0,0.0,0.007816091954022988,0.0
aA2AI4HOWU11,0.0004257533468943658,0.003595250484885756,0.004162921614078244,0.004494063106107196,0.0051090401627323905,0.0011353422583849756,0.0028856615733951463,0.001182648185817683,0.0007095889114906098,0.005818629074223001,0.0008042007663560245
aA1EOPEG6U11,0.00019932230416583617,0.0018736296591588602,0.0013553916683276858,0.0009168825991628463,0.004185768387482559,0.000358780147498505,0.0006378313733306758,0.0006378313733306758,0.0005581024516643412,0.002670918875822205,0.0005979669124975084
aA1BAEFJ2U11,0.0019430950728660653,0.006453851492019431,0.0056904927133934755,0.005412907702984039,0.008119361554476059,0.0019430950728660653,0.003747397640527412,0.002498265093684941,0.0018043025676613466,0.008535739070090215,0.0015267175572519086
aA2S6QOCFU11,0.0,0.00044464206313917296,0.0017785682525566918,0.0,0.0017785682525566918,0.0008892841262783459,0.0,0.0,0.0,0.0008892841262783459,0.00044464206313917296
