handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
BfloBizData,A13DD9WSQZ2D2M,Public,Public,800|900,903,TRUE,1985
superiorunknown,A3A6C8329VTSN7,Public,Public,0|100,3,TRUE,13
dylanwolf,A3M3DCE0R1ZWQS,Public,Public,400|500,522,TRUE,18262
FueledByLux,AJTNDRWYD3IFR,Public,Public,200|300,268,TRUE,1671
midknightmaille,A13T61GJTR2Y9B,Public,Public,700|800,812,TRUE,1731
queenmama247,AL5UXD1GLG4X0,Public,Public,200|300,309,TRUE,3431
castrologist,A1JNDBFZZBTEA0,Public,Public,200|300,108,TRUE,1428
smoothmann,AECQ7QG4CQP69,Public,Public,0|100,25,TRUE,97
joejane13,A332S5HG3XL6TE,Public,Public,0|100,37,TRUE,6071
jesus_gallimore,AHKRGPN5D3I2G,Public,Public,0|100,0,TRUE,27
Thaniriya,A16L296MDDV1ZX,Public,Public,0|100,2,TRUE,7
dazcat5872,A3HOBJ4PJUOCUN,Public,Public,400|500,467,TRUE,15341
is_yuck     ,A2Z0UFTYUDNE97,Public,Public,0|100,70,TRUE,1027
lisamaky,APY5858P6BTDY,Public,Public,I do not wish to disclose this information.,979,TRUE,9776
FireTitan09,AZCGSVDT79E6X,Public,Public,0|100,17,TRUE,187
Librarian1988,A2MWAXV1YRK5GH,Public,Public,0|100,14,TRUE,1314
powerdarnell,A1TJZFTCYX4ASU,Public,Public,0|100,84,TRUE,228
xGarbett,A1UGD2VEVSML1U,Public,Public,1000|999999,2613,TRUE,4717
JENITHAM,A2NK67A23XP83H,Private,Public,100|200,3,TRUE,1
records_nice,A1CX684F5TEO5W,Public,Public,0|100,14,TRUE,28
marcusdavvid,A3C0NQ2IP5FTZQ,Public,Public,400|500,353,TRUE,192
joyel,A147B5FTAKXVPS,Private,Public,0|100,8,TRUE,1
roblindman,A28SVE690PQ5P7,Public,Public,100|200,67,TRUE,40887
HarmsDalton,A1PYK3QS7O93XA,Public,Public,0|100,36,TRUE,17
groverthompson,A2CF2BD4Q0ZDJN,Public,Public,0|100,6,TRUE,317
oinkorea,AW2XWG1NUYMR5,Public,Public,1000|999999,1279,TRUE,9008
brandonn1768,A1H1754EC3SL2L,Public,Public,0|100,2,TRUE,37
tamara_toy,A1SGIACNC9DUV3,Public,Public,0|100,34,TRUE,496
GetnJigaeWithIt,A1ZTSCPETU3UJW,Public,Public,0|100,2,TRUE,13
EllenBroudy,A2JMPB5BLPWK1Q,Public,Public,100|200,107,TRUE,650
YoyoLameName,A1NIKHUA79SWGD,Public,Public,0|100,8,TRUE,1028
Randoplants ,ARDIIRIEIK16Z,Public,Public,0|100,17,TRUE,558
Theendgamelv3,A2539PUSDD137T,Public,Public,100|200,97,TRUE,7599
JessicaMehrtens,A1C3JZP9IXG52Q,Public,Public,0|100,5,TRUE,8
deepoacharya,A1Y6VW621TEYXN,Private,Public,100|200,91,TRUE,146
luigi65,A12I4JOVZ1HZW8,Private,Public,0|100,3,TRUE,3
Cora996b,A3BJ0H1UZ7YQL0,Public,Public,0|100,4,TRUE,280
MinisinkGen,A1AZTE5W2MF1TU,Public,Public,0|100,94,TRUE,489
StickyLore,A25K2YA4BZW2K7,Public,Public,100|200,143,TRUE,947
tincankitty,A2M4QB5T835AW1,Public,Public,100|200,162,TRUE,732
nebulaplasma,A1MM8TSLCHVMNK,Public,Public,0|100,32,TRUE,51
estgomdna,A36K4ELT4YH00L,Public,Public,100|200,148,TRUE,1034
lornadobson,A28KV1QXL1AV4X,Public,Public,0|100,0,TRUE,35
lovebunnyok,A1941R1INABJ86,Public,Public,0|100,12,TRUE,75
bagelbakerjay,A1WCAVFOV1Y54N,Public,Public,0|100,5,TRUE,38
ItalianGuy_440,A20HZD952T4B2O,Public,Public,0|100,0,TRUE,4
katpappas2,A2TCZ9IUCUN3KC,Public,Public,0|100,30,TRUE,112
Mass_to_IL,A18WPTVQPM9LBH,Public,Public,0|100,4,TRUE,191
ZekeJim8,A1KOHXO0BIQB8T,Public,Public,0|100,10,TRUE,33
MccolmJulie,A12NNJKHIZP1TY,Public,Public,500|600,647,TRUE,79
cjambrosia,A341XKSRZ58FJK,Public,Public,0|100,2,TRUE,3
banda_pear_,A2XMYHTHDZEM4U,Public,Public,200|300,279,TRUE,13332
the_wordnerd,A3GQ6KDIZWCMW6,Public,Public,100|200,127,TRUE,677
jrpxo8,A29LUD4L39VAQ3,Public,Public,600|700,631,TRUE,16219
ARP117,A1R37XA9QPSIAN,Public,Public,100|200,26,TRUE,211
REparsed,A194E79BDFEZIU,Public,Public,0|100,11,TRUE,217
daedrica,AIKWZBRRTEW6Z,Public,Public,0|100,1,TRUE,94
barribronston,A3TW179Z0GG8JG,Public,Public,1000|999999,1070,TRUE,10576
rhondaf7816,A39C210BKD7YNN,Public,Public,1000|999999,3210,TRUE,3297
patebishop,AECBS7PZMFA8H,Public,Public,300|400,320,TRUE,219
kerstie_munoz,ADFAALOBP5BIJ,Public,Public,0|100,8,TRUE,18
baebae__sanders,A18ILYDB04VEE9,Public,Public,1000|999999,4406,TRUE,36212
bombygriz,A3ID5G33X4OHFR,Public,Public,0|100,76,TRUE,460
chicityop,A2MU2U2QYKHLOG,Public,Public,100|200,160,TRUE,3692
ProgScape,A2JHF7CU91EVXW,Public,Public,1000|999999,2398,TRUE,30354
lindystar81,A3B2RWV5LWCE8U,Public,Public,0|100,19,TRUE,143
nisasin,AIZ2WT5GUCS0E,Public,Public,100|200,124,TRUE,966
amandaboulineau,AX72PZ2TQ1J3I,Public,Public,800|900,964,TRUE,2855
ashley200688,A1VDJ5IGNKQBLU,Public,Public,0|100,31,TRUE,584
jonathanschimpf,A3E1403CWJPCIU,Public,Public,I do not wish to disclose this information.,498,TRUE,7982
ToddTheChemist,A3CMWYLWMENHLZ,Public,Public,0|100,34,TRUE,876
mrsdreajulian71,A32QYANWMXW8EL,Public,Public,700|800,767,TRUE,2601
nikigibson18,A2VNK2H6USLQTK,Private,Public,0|100,1,TRUE,7
MarkColorad0,A3EYWJCIO1MG9W,Public,Public,100|200,181,TRUE,1724
NaomiKovar,A27VBVMMEX9GJB,Public,Public,700|800,715,TRUE,3202
vonMeow,A39KKGT1ME3A7M,Public,Public,300|400,387,TRUE,5260
daniel_relihan,abc123,Public,Public,0|100,59,TRUE,144
