mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement
A28HB6T2S3GKVD,20,21,13,17,6,-10,1
A1HYMGPYXU97ZN,22,22,20,22,18,-2,2
A1KET5Z038NMWD,22,22,7,6,0,-4,4
A27353U3GOR77W,28,17,28,24,24,4,3
A1PBFDQR599N3K,28,29,19,21,18,-4,2
A3GUSBF7LGFWFT,26,24,16,14,18,-6,7
A2QJ22AYO30HXR,25,21,9,19,24,-8,2
A3P7XSX4AH6VRP,27,24,11,24,27,-4,2
A110ICG2VQUGXS,19,20,11,16,16,0,1
A38G96U9JZU3CW,14,18,16,19,19,2,2
A1X2NKYJNHB1A5,19,24,17,21,25,6,2
A2PRLCEP7GEQXI,21,22,20,28,19,6,3
AYB7U8LZ87F0K,27,27,19,22,8,-2,5
A3F51C49T9A34D,27,25,19,23,16,-4,1
A0467121226LDESR9HWNF,26,24,13,15,12,-8,4
A5W6U5FSDF4QX,26,24,10,17,4,-10,6
A3KC385CZNYEG5,28,29,4,2,1,-8,5
AJFVK3O1D7SPE,3,13,6,9,0,6,1
AGWEXUS5XLGMX,21,22,15,12,11,-6,6
AXJYGUTPJ6YC4,21,24,18,19,10,-2,1
A39N38SJ4SPW94,26,21,13,18,25,-4,6
A1X9D35OHEP9FG,26,25,12,19,14,2,3
A13OAZH7U7HFF4,24,22,22,23,22,-10,5
A11EL5LWS2L1HX,29,30,11,9,5,-4,4
APY2D74NQIQ7W,20,28,11,14,9,-8,6
A3IC7ZQ257WUNV,19,17,20,21,20,-2,2
A1CUK9RG3RW1DY,26,26,17,10,8,-10,7
A3FEPWQ93EKNL0,27,20,11,19,11,-6,1
A2BCXZKY9Y7BF6,23,11,15,21,17,2,2
AX29XXI8QOSC6,25,22,4,6,9,-10,1
A1NDM9R54FJMPW,19,15,16,17,17,6,3
A1S9N071I5RPE9,26,27,9,9,11,-8,5
A20OJFEDEPK5SU,30,23,17,22,28,0,7
A2SKQU23TNJKTB,29,24,11,18,15,-10,3
A3QEBRCOTOBU6V,21,25,14,14,4,-10,5
AMHSZPFIQZKCP,9,13,7,15,6,2,1
A3T021IZ1409ZH,20,29,9,18,12,-6,2
A2JPUXT8WS5YVX,25,25,16,20,10,-6,3
A1XV3WQ8OY7VVW,23,24,13,15,15,-2,6
A1OBB3PWYWK9KK,25,28,8,4,3,-10,3
A1DF8MGECR4ZK8,23,19,21,26,24,4,2
AFWJT2RB6Y4SZ,23,22,7,19,4,-8,1
AWJ4EHRKDZ53X,15,22,20,15,14,2,5
A31D4OCLMV4K5K,18,14,10,17,12,0,5
A1I8KRIXSGZXX2,18,23,11,11,0,-4,1
A2YKYAZYVWOXBO,21,26,20,18,28,4,5
ADNAVIZ9SABYS,20,19,9,14,17,-6,5
A12JZYXJMB6BG4,4,19,8,17,6,4,1
A16LTU114BWG76,17,19,13,14,14,-6,5
A1RWXE4FE0N6SS,23,11,24,23,16,10,2
A2Z0K8BA0U0VI3,15,16,16,20,18,6,3
A1NM3VA211XXEN,20,22,11,13,11,-4,4
ADR5NXD0FGONS,24,21,12,12,8,-10,5
A36PJP7KXXI184,24,27,12,21,18,-8,6
A34UFMGVNCFKVV,28,23,10,21,28,4,7
A3M706WDRF9W4E,10,16,12,11,9,-6,4
A2N9Q1IHLP4LGI,25,22,12,12,6,-8,4
A3DBG3IETULYCN,19,23,12,11,0,-6,3
A29GNU19VJN3Q6,30,24,14,21,13,-4,2
A1WJ1S1LXP47NH,24,19,7,9,8,-10,1
A2RI0A23GBPJSD,26,22,10,15,20,-6,4
A3I5AH4959TUYF,23,28,20,26,25,-6,5
A2S3SV1LQTKJ8K,28,30,25,26,22,-10,1
A3CHEPE7BQHSY7,25,23,20,23,17,-6,1
AL8XTNQ7MQH5F,22,20,8,12,4,0,2
A19H44LQJ0TEXF,17,18,18,21,14,6,4
A2OXSNVB5JI2BF,20,19,10,7,0,-4,1
A53LV70R73Q73,20,18,4,11,15,-8,2
AHN0AVRM65XB0,24,22,15,15,14,-6,5
A5X1KZ9CCHREK,22,19,6,21,13,-4,2
AEDV0CBBPU0RE,20,20,17,14,13,-6,1
AZVI1B5Z5L56N,24,16,20,15,20,-2,1
A1CPVTZAK27YSF,23,17,18,24,27,2,6
A1HJAT4A0FVIOZ,28,30,5,12,9,-10,4
A14AKM0M9VIDCG,17,19,19,20,18,0,2
A3QUWIT972BYUH,29,28,19,22,26,-6,1
A3I668PEONUFH0,25,28,11,8,1,-8,2
A3JG44GC9BIM58,19,21,17,24,26,2,1
A1PZIN8H1VI6SY,20,19,24,19,19,-10,5
A1B14CS9DW7008,28,29,13,20,11,-8,1
A2GFLJDDJ33MI4,21,21,10,12,6,-6,1
ASWRCA8J5G771,29,24,10,3,2,-10,3
A3IEFYBAJDK48K,18,28,22,17,26,4,7
AJMWITY1XT7H7,30,21,6,12,3,-10,3
A2HC9549CZAKNN,25,26,4,5,7,-6,1
A8RDXT4ZILHQT,20,12,8,4,0,-4,2
ATADQXPHL10Y8,23,16,19,20,22,4,2
A28JBDTFGFJ5NR,21,24,21,23,16,-6,1
A4T4577P6JL6R,26,25,19,25,22,-6,1
A272X64FOZFYLB,17,24,6,9,2,-10,1
A2F0A4FIVT9M3O,29,27,16,14,24,-4,1
A2BRZKFG6WAVER,18,13,9,18,18,0,1
A203C9REA20IT3,23,22,5,10,0,-10,1
A38DXFI1TZA295,18,23,15,22,5,8,1
A102VHF4S7WXQF,18,17,4,13,6,-8,1
ATOV0H5KQHI29,24,21,23,27,30,2,5
A1VFRCYMWGWWCZ,25,23,12,16,12,-10,1
AT7QJKGCPSO6J,26,22,13,17,8,-4,1
A3EHI7J2E5DSJK,14,17,13,14,14,0,2
A1QJ2VPPZG16EG,29,29,26,27,29,-6,1
A1DNJ17PE2RYJZ,14,27,10,13,5,-8,6
A2VX8B1CJXRN2,25,21,23,26,23,-4,1
A2FIMENJ9UMN7M,18,18,16,19,11,-8,1
A12WRJ2ZMDW3SU,27,25,10,17,22,-8,1
A2H5UA2MUBT4QX,30,30,25,25,20,-8,1
A3862RIFFUV141,26,26,10,12,1,-8,6
