handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
AwesomeCardGame,A27Y4NEIQQH00M,Public,Public,500|600,503,True,2380
laurenamorND,A22ALWFDK913C4,Public,Public,100|200,120,True,374
StevieRayK,A3PSY76FRTWBBI,Public,Public,0|100,13,True,251
JoeyMonaco720,A1OE4SD0GXFOUP,Public,Public,1000|99999,1011,True,7433
puttlikejimbo,AW1QY7Q83DYCJ,Public,Public,0|100,0,True,1
Alli813,A1Y7IIQ9A8B508,Private,Public,0|100,0,True,2
rekenner,A3TOI40R1LPLNE,Public,Public,0|100,63,True,650
Lissy1223,A1z2zgpjrgg0g3,Public,Public,0|100,9,True,10
toddstawicki,A13LQZLDE9BUEH,Public,Public,0|100,11,True,133
SameDamnThings,A3IDPT97BOSXGO,Public,Public,100|200,90,True,282
reillymgrant,A377OG15Q3U35C,Public,Public,100|200,137,True,207
jessidon05,APXNY64HXO08K,Private,Public,0|100,16,True,264
Crankcase74,A32OQIKGNOPDKC,Public,Public,0|100,8,True,445
jasonkmoore88,A11A83GK7BV037,Public,Public,0|100,84,True,450
stephaniek1116,A2STXZFG083AAB,Public,Public,100|200,110,True,6439
kmf818,A25AQVQ1NAY36D,Public,Public,0|100,63,True,19718
MichLich33,AWAW665TQQP2F,Public,Public,0|100,12,True,1
gdevidze,A386IMIIIGW5OU,Public,Public,0|100,8,True,0
Unlucky13The,AGBW9W637YQ6C,Public,Public,0|100,35,True,157
radwackage,A14ADQ7RUN6TDY,Public,Public,0|100,51,True,119
hogendaz85,A2XMFTY9WB05U6,Public,Public,0|100,2,True,2
itsturk73,AWE9A4ZOP9LNU,Public,Public,0|100,22,True,93
DanPacholek,AHGDYNKOKJWFJ,Public,Public,0|100,2,True,2
KDurianski,A3IDBFPW2T9P5D,Public,Public,0|100,39,True,329
CamilleMyers92,A24DDWABLZUX1H,Public,Public,0|100,12,True,7
xBurtMcGirtx,A2R9OK4M877ZCC,Public,Public,700|800,675,True,21965
jwolfe73,A14SXXOGFMEFM6,Public,Public,300|400,319,True,2031
dream_in_static,A26A4HEBGP2MOX,Public,Public,200|300,275,True,368
neffynurse,A28HB6T2S3GKVD,Public,Public,0|100,2,True,348
PlugZXC,A1HYMGPYXU97ZN,Public,Public,0|100,95,True,2155
oOJenniLeighOo,A1KET5Z038NMWD,Public,Public,300|400,321,True,4935
Zcekrezi,A27353U3GOR77W,Public,Public,0|100,0,True,0
chunky149,A1PBFDQR599N3K,Public,Public,0|100,5,True,53
ISitStillShutUp,A3GUSBF7LGFWFT,Public,Public,1000|99999,4771,True,5624
hollyberrie05,A2QJ22AYO30HXR,Public,Public,1000|99999,1567,True,11622
mzglover68,A3P7XSX4AH6VRP,Public,Public,0|100,36,True,2477
lstrite,A110ICG2VQUGXS,Public,Public,0|100,5,True,4
tharandomshark,A38G96U9JZU3CW,Public,Public,600|700,636,True,328
Denise_1975,A1X2NKYJNHB1A5,Public,Public,0|100,0,True,0
stdavis911,A2PRLCEP7GEQXI,Public,Public,0|100,0,True,20
JayCzarnick,AYB7U8LZ87F0K,Public,Public,100|200,119,True,1317
jh_burton,A3F51C49T9A34D,Public,Public,0|100,8,True,32
ptanka,A0467121226LDESR9HWNF,Public,Public,0|100,77,True,1186
itsgarsha,A5W6U5FSDF4QX,Public,Public,100|200,142,True,334
azrtairne,A3KC385CZNYEG5,Public,Public,400|500,411,True,102875
jenivi7,AJFVK3O1D7SPE,Public,Public,100|200,45,True,822
SirCatBallsPhD,AGWEXUS5XLGMX,Private,Public,100|200,74,True,664
flytronix225,AXJYGUTPJ6YC4,Public,Public,0|100,0,True,10
graysam13,A39N38SJ4SPW94,Public,Public,200|300,101,True,1170
crystalsethh,A1X9D35OHEP9FG,Public,Public,200|300,200,True,1297
_haleymilano,A13OAZH7U7HFF4,Public,Public,200|300,326,True,22919
owlstuff,A11EL5LWS2L1HX,Public,Public,0|100,2,True,59
sevenelevenhell,APY2D74NQIQ7W,Public,Public,200|300,296,True,21773
RonS_PT,A3IC7ZQ257WUNV,Public,Public,0|100,40,True,6465
patriciar3,A1CUK9RG3RW1DY,Public,Public,1000|99999,1117,True,2137
writergirlcarly,A3FEPWQ93EKNL0,Public,Public,0|100,43,True,851
TrevorRodenbeck,A2BCXZKY9Y7BF6,Public,Public,0|100,49,True,192
goblin_wars,AX29XXI8QOSC6,Public,Public,0|100,9,True,310
SavedByGrace14,A1NDM9R54FJMPW,Public,Public,100|200,287,True,2404
brodawg42069,A1S9N071I5RPE9,Public,Public,0|100,57,True,437
Newlysane,A20OJFEDEPK5SU,Public,Public,1000|99999,3736,True,44499
nowayitsbless,A2SKQU23TNJKTB,Public,Public,300|400,371,True,16652
