mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement,Political Leaning
A1CPVTZAK27YSF,23,17,18,24,27,2,6,slightly
A1HJAT4A0FVIOZ,28,30,5,12,9,-10,4,liberal
A14AKM0M9VIDCG,17,19,19,20,18,0,2,moderate
A3QUWIT972BYUH,29,28,19,22,26,-6,1,liberal
A3I668PEONUFH0,25,28,11,8,1,-8,2,liberal
A3JG44GC9BIM58,19,21,17,24,26,2,1,slightly
A1PZIN8H1VI6SY,20,19,24,19,19,-10,5,liberal
A1B14CS9DW7008,28,29,13,20,11,-8,1,liberal
A2GFLJDDJ33MI4,21,21,10,12,6,-6,1,liberal
ASWRCA8J5G771,29,24,10,3,2,-10,3,liberal
A3IEFYBAJDK48K,18,28,22,17,26,4,7,slightly
AJMWITY1XT7H7,30,21,6,12,3,-10,3,liberal
A2HC9549CZAKNN,25,26,4,5,7,-6,1,liberal
A8RDXT4ZILHQT,20,12,8,4,0,-4,2,slightly
ATADQXPHL10Y8,23,16,19,20,22,4,2,slightly
A28JBDTFGFJ5NR,21,24,21,23,16,-6,1,liberal
A4T4577P6JL6R,26,25,19,25,22,-6,1,liberal
A272X64FOZFYLB,17,24,6,9,2,-10,1,liberal
A2F0A4FIVT9M3O,29,27,16,14,24,-4,1,slightly
A2BRZKFG6WAVER,18,13,9,18,18,0,1,moderate
A203C9REA20IT3,23,22,5,10,0,-10,1,liberal
A38DXFI1TZA295,18,23,15,22,5,8,1,conservative
A102VHF4S7WXQF,18,17,4,13,6,-8,1,liberal
ATOV0H5KQHI29,24,21,23,27,30,2,5,slightly
A1VFRCYMWGWWCZ,25,23,12,16,12,-10,1,liberal
AT7QJKGCPSO6J,26,22,13,17,8,-4,1,slightly
A3EHI7J2E5DSJK,14,17,13,14,14,0,2,moderate
A1QJ2VPPZG16EG,29,29,26,27,29,-6,1,liberal
A1DNJ17PE2RYJZ,14,27,10,13,5,-8,6,liberal
A2VX8B1CJXRN2,25,21,23,26,23,-4,1,slightly
A2FIMENJ9UMN7M,18,18,16,19,11,-8,1,liberal
A12WRJ2ZMDW3SU,27,25,10,17,22,-8,1,liberal
A2H5UA2MUBT4QX,30,30,25,25,20,-8,1,liberal
A3862RIFFUV141,26,26,10,12,1,-8,6,liberal
A32U64W0S9PUA3,28,29,20,29,22,-10,2,liberal
AQBMXL3D39ZC0,22,17,23,22,23,4,4,slightly
A3VY42IIJXD3IC,27,23,25,25,21,-2,5,slightly
A2YFTTVAH9AFXU,23,21,20,19,12,-8,1,liberal
AE87K978IXPYP,27,26,10,14,5,-10,1,liberal
A2E3UTEZNB9BN9,21,20,12,12,18,-2,1,slightly
A27GK6AHDNFW5Y,25,18,19,19,13,2,6,slightly
AA6K05EFNJ3T0,20,30,9,21,10,-6,6,liberal
AO33H4GL9KZX9,23,23,20,22,15,4,1,slightly
AUHRS2GFPRADF,18,17,17,18,18,-10,4,liberal
A3B919K25SR35,23,25,23,23,28,-6,2,liberal
AKX5RHHO8BIUX,29,24,24,23,16,4,1,slightly
A1PIGZNLSQMGNW,22,18,14,17,21,-10,1,liberal
A3HSONMX6LNZR4,25,24,8,11,3,-10,6,liberal
A6N190372TE5T,30,30,4,0,2,-8,5,liberal
ACRTRQ23XH20E,20,14,13,21,18,-2,0,slightly
A4CPMNA135GK4,11,21,8,13,10,-2,7,slightly
ACGZDI611LU0I,24,25,18,19,21,-4,5,slightly
A3J2JDTVK5TN5S,26,29,8,8,8,-10,5,liberal
A23IRWAODQDAA7,21,25,15,18,9,-8,1,liberal
A1S315FYTGY9GL,25,28,16,18,5,-8,2,liberal
A3BL2ZEODD79AZ,17,16,16,23,11,4,1,slightly
A28F1ZWZ9H0RHA,28,30,3,8,0,-8,5,liberal
A2NYDCQ3Y6QS4Q,23,21,15,19,19,-8,4,liberal
A3GAQNTZ1V1VO,17,23,28,26,25,2,4,slightly
AUFUUD4WG9CVO,30,28,12,2,0,-10,2,liberal
A17485GZMUEVZ9,29,26,14,12,5,-10,1,liberal
A1KCC93NOV6TH2,19,17,22,23,18,6,1,conservative
A3RS7UCO7CQ74R,8,3,3,2,12,4,1,slightly
A3774HPOUKYTX7,11,21,15,10,8,-8,6,liberal
A1AZLJ3R5FQ9B7,26,22,21,23,27,-4,2,slightly
A3RFELKHWTBCB4,22,25,13,10,11,-10,5,liberal
AQH9FEEROUJUO,18,18,22,19,18,-6,6,liberal
A1G7T6PC3KNH4M,25,25,8,15,6,-8,7,liberal
A8YVGN8FQ3VH4,12,18,19,18,7,0,1,moderate
A1M8GE34UYSUCB,21,24,3,10,2,-4,1,slightly
A1CW0W7Q2NLDDJ,23,20,17,17,11,-8,1,liberal
AHEEMGVMGEMEQ,19,21,18,19,20,0,1,moderate
A3IU2E7QCWYEZI,26,21,27,27,25,8,2,conservative
A2HSCKH5NKN5LP,22,21,13,7,0,2,2,slightly
A222R4PNCF08OF,30,23,18,20,20,-4,1,slightly
A3V0DBGRRC1B67,20,24,15,14,10,-8,7,liberal
A1XJKGLSPFWRBT,18,19,19,26,24,6,2,conservative
A2WYCY1FMQOD5F,18,14,13,15,9,-4,2,slightly
A1YKFB1EKM08EV,22,21,19,20,17,2,1,slightly
A2S96ZZ70YFPSK,29,28,11,7,9,-8,1,liberal
A2ETY1O927Z1IF,21,23,15,18,12,-8,1,liberal
ANWY0TG55MWW9,27,23,22,22,21,2,3,slightly
ACSZKZPBGYYKO,23,25,11,14,8,-8,3,liberal
A4YG74WC1EK5V,22,24,16,20,6,-4,2,slightly
A1FD2PO9OQ2LY8,26,27,14,14,9,-6,4,liberal
A1BRPPNBN3LKU5,23,24,8,16,20,-6,4,liberal
A1U3TT3VMH9FU9,19,18,26,19,24,2,6,slightly
A3CA7SCTM4H9IO,22,20,19,22,23,2,5,slightly
AKN67C89B5QW5,24,25,21,21,23,-6,6,liberal
ACN0C9HPYDTED,21,24,22,18,7,6,6,conservative
AXY0D2AMLKE2A,21,25,14,18,13,-8,1,liberal
A2DKE3NCEA5W79,23,24,13,18,22,-4,1,slightly
A38N2MBXP7IOPS,13,24,4,15,0,-6,6,liberal
A3H5HW66S1BKID,23,24,17,17,23,-10,2,liberal
A3JPYCC2U4D9CZ,27,26,18,24,18,-10,1,liberal
A5OBJUPZLVOKG,19,25,8,14,5,-8,2,liberal
A318574M8Q965P,27,22,19,21,18,-6,2,liberal
ADA69G66J3524,24,26,10,21,24,4,3,slightly
A1T9XW8SNUDDY7,24,23,15,18,17,-6,2,liberal
A1RAMKQ7DTZSY9,18,18,18,18,18,10,6,conservative
A1SOQ9Q35SASE4,21,25,11,9,1,-8,2,liberal
A17K1CHOI773VZ,21,18,28,24,25,10,5,conservative
A3HZIPKSCYU7ZI,12,25,5,16,16,-4,3,slightly
A20MO1430Z8C18,14,16,16,16,17,2,5,slightly
AOTIV8H84F69E,30,30,2,2,0,-6,4,liberal
A1PNQWE4UAI1P2,23,26,7,17,18,-4,1,slightly
A1IIDR9HLUB1MR,25,20,18,18,19,-6,4,liberal
