,mtkid,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function.,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,PurityVice,anger_nrc,anticipation_nrc,disgust_nrc,fear_nrc,joy_nrc,negative_nrc,positive_nrc,sadness_nrc,surprise_nrc,trust_nrc
195,aA27Y4NEIU11,33256,88.97,63.51,30.14,79.94,33256,19.0,74.56,41.41,8.95,6.26,3.14,0.5,1.18,1.0,0.45,2.68,7.66,12.1,7.67,2.92,2.99,1.03,13.49,5.81,1.69,0.73,2.53,1.54,6.85,4.9,1.92,0.17,0.87,0.26,7.72,0.14,0.23,0.44,1.7,7.1,1.4,1.26,1.27,1.4,0.95,1.69,2.53,1.73,0.31,0.37,1.0,0.31,0.27,0.05,0.3,8.39,2.27,2.44,3.3,1.97,0.42,2.49,9.75,1.46,13.92,1.67,5.65,6.85,2.02,2.7,0.13,0.86,0.57,0.16,1.0,0.09,0.18,0.64,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0.14,0.04,0.0,0.09,0.01,0.17,0.01,0.1,0.01,0.0192134223344759,0.0341571952612905,0.00935113356184978,0.0246557219315653,0.0262192555174695,0.0295567983643033,0.0610078778038367,0.0160262192555175,0.015845811534067,0.0343676709363161
196,aA2BRZKFGU11,40405,98.41,51.13,19.21,99.0,40405,21.74,66.74,34.8,6.86,5.44,4.08,0.2,1.06,0.03,0.07,1.42,7.11,15.58,2.1,2.48,1.35,0.52,9.19,3.28,0.68,0.42,3.59,0.73,7.84,7.08,0.74,0.07,0.14,0.42,4.11,0.3,0.18,0.48,0.38,6.01,0.53,0.97,0.4,3.54,0.52,0.48,2.41,1.2,0.27,0.65,2.56,0.94,0.44,0.07,0.94,7.44,1.22,4.3,4.36,4.78,0.18,3.56,5.39,0.28,11.11,4.53,3.93,2.76,1.42,1.63,0.67,1.68,0.11,0.08,0.3,0.01,0.18,0.1,0.01,0.0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.02,0.0,0.0,0.08,0.0,0.07,0.0,0.02,0.02,0.009339774557165859,0.022569057351666,0.0055741360089186206,0.0104546017589496,0.0245757463148767,0.0149139105660845,0.0578471448036665,0.00844791279573888,0.0403319707667534,0.0252694165737644
197,aA318574MU11,63,99.0,37.54,4.97,95.81,63,31.75,49.21,22.22,3.17,3.17,3.17,0.0,0.0,0.0,0.0,0.0,3.17,14.29,0.0,0.0,1.59,0.0,6.35,6.35,0.0,0.0,7.94,0.0,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.0,0.0,1.59,0.0,0.0,0.0,7.94,1.59,0.0,3.17,4.76,4.76,0.0,0.0,0.0,3.17,0.0,1.59,0.0,1.59,0.0,0.0,6.35,1.59,9.52,3.17,3.17,4.76,0.0,0.0,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,0.0158730158730159,0.0158730158730159,0.0,0.0634920634920635,0.0,0.0634920634920635,0.0158730158730159,0.0317460317460317,0.0476190476190476
198,aAXY0D2AMU11,16933,37.79,56.98,50.44,49.04,16933,11.28,83.81,49.52,18.04,11.85,6.28,0.63,2.92,1.28,0.76,6.18,4.97,9.79,8.75,5.85,4.81,2.6,17.72,4.42,2.35,1.7,2.5,1.89,7.48,4.33,3.08,0.14,1.48,0.55,11.96,0.93,0.6,0.4,2.66,10.72,1.64,1.58,1.58,2.41,1.41,3.45,2.57,1.13,0.73,0.62,2.11,0.71,0.54,0.24,0.44,8.63,2.98,1.44,2.36,2.55,0.51,3.84,12.38,1.42,12.55,1.88,5.89,5.01,1.07,2.19,0.19,0.61,0.25,0.47,5.6,1.42,2.81,0.55,0.43,0.18,0,0,0,0,0,0,0,0,0,0,0,0.06,0.33,0.04,0.01,0.04,0.01,0.07,0.01,0.06,0.01,0.024455077086656,0.024455077086656,0.017484789414614,0.0219741272372851,0.0177801405871581,0.0442436056471144,0.0398133380589521,0.0215015653612145,0.0109870636186426,0.024455077086656
199,aA88DXNDGU11,39219,70.58,82.43,15.54,30.14,39219,22.05,81.07,47.34,12.78,7.46,1.79,0.99,2.64,1.35,0.68,5.32,5.82,13.02,8.63,4.11,4.9,1.8,15.23,4.21,2.18,1.92,2.2,1.9,6.58,3.4,3.14,0.46,1.14,0.53,12.05,0.26,0.22,0.37,1.53,10.23,1.69,2.01,1.81,2.03,1.45,2.7,2.0,0.89,0.77,0.28,1.08,0.31,0.56,0.11,0.15,9.78,2.36,1.5,4.8,1.08,1.04,3.19,10.28,1.24,11.9,1.48,6.02,4.51,3.79,0.68,0.32,1.54,0.18,0.6,0.67,0.07,0.31,0.15,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0.21,0.26,0.05,0.01,0.2,0.06,0.38,0.07,0.02,0.01,0.0298572157062723,0.0242733299337073,0.0143804181540031,0.0306986231514533,0.0169301376848547,0.0524987251402346,0.0530341662417134,0.0245283018867925,0.0155532891381948,0.038832228454870006
200,aAJFVK3O1U11,7445,47.03,35.43,47.81,73.43,7445,18.29,82.35,45.96,15.14,9.38,6.77,0.3,1.21,0.77,0.34,5.75,5.05,9.04,7.62,6.58,5.08,1.67,15.74,4.67,1.64,1.41,1.29,1.75,6.84,4.69,2.14,0.12,0.78,0.51,6.53,0.34,0.26,0.51,0.87,9.9,1.8,1.67,1.61,2.4,1.03,2.62,6.54,4.39,1.36,0.67,3.05,1.05,0.35,0.35,1.09,5.98,1.64,1.21,2.04,1.42,0.47,3.53,11.12,0.98,11.86,1.54,5.21,5.25,1.67,2.67,0.39,0.58,0.48,0.5,4.12,0.71,1.56,0.95,0.86,0.07,0,0,0,0,0,0,0,0,0,0,0,0.03,0.04,0.0,0.0,0.04,0.0,0.07,0.01,0.16,0.01,0.0112751677852349,0.0241610738255034,0.011006711409396,0.0159731543624161,0.0264429530201342,0.0271140939597315,0.0465771812080537,0.012751677852349,0.00926174496644295,0.0220134228187919
201,aA3RS7UCOU11,50,41.39,15.86,43.37,63.69,50,18.0,78.0,48.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,12.0,4.0,4.0,4.0,18.0,6.0,2.0,4.0,2.0,0.0,6.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,0.0,4.0,12.0,2.0,10.0,2.0,6.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.02,0.04,0.02,0.06
202,aA1CW0W7QU11,14,93.26,92.33,99.0,25.77,14,28.57,85.71,57.14,21.43,7.14,0.0,7.14,0.0,0.0,0.0,14.29,14.29,14.29,7.14,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,7.14,0.0,7.14,0.0,0.0,0.0,14.29,0.0,28.57,7.14,14.29,7.14,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,aA3PSY76FU11,1937,89.81,78.83,24.88,84.81,1937,20.81,70.42,36.6,8.62,5.94,2.07,0.67,2.32,0.52,0.36,2.68,4.8,13.16,5.16,3.2,2.99,1.14,12.39,4.54,1.76,0.46,2.79,1.08,6.66,4.96,1.6,0.31,0.52,0.21,9.71,0.41,0.21,0.46,0.67,6.97,1.55,1.34,1.03,1.7,1.03,1.14,2.48,1.24,0.93,0.31,1.96,0.62,0.83,0.15,0.26,9.4,3.2,2.17,3.25,2.12,0.52,1.39,10.07,1.08,13.73,2.27,6.66,5.21,3.36,2.63,0.46,1.34,0.41,0.21,1.65,0.36,0.88,0.31,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.05,0.1,0.1,0.0,0.0,0.0,0.0,0.05,0.0139318885448916,0.0402476780185759,0.0072239422084623296,0.0190918472652219,0.0350877192982456,0.0252837977296182,0.0696594427244582,0.0134158926728586,0.0144478844169247,0.0412796697626419
204,aA2QWTQ4IU11,200,35.9,95.05,27.99,44.04,200,18.0,85.0,45.5,19.5,13.5,4.0,0.0,5.5,1.5,2.5,6.0,2.5,9.5,7.0,3.5,5.5,2.5,17.0,3.0,2.0,1.5,4.0,3.0,5.0,3.0,2.0,0.0,1.0,0.0,21.0,0.0,2.0,0.0,2.5,16.0,1.0,6.0,1.5,5.5,1.0,3.5,3.0,1.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,11.0,4.5,1.5,3.5,2.0,0.5,2.0,12.0,2.5,12.0,1.0,5.5,5.5,1.5,1.5,0.0,3.5,0.5,0.5,2.5,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.005,0.02,0.04,0.035,0.075,0.01,0.025,0.06
